127.0.0.1 - - [09/Dec/2023:00:01:43 -0300] "GET /agis/aluno/ HTTP/1.1" 404 275
127.0.0.1 - - [09/Dec/2023:11:00:09 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:00:10 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:00:10 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:00:10 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:00:10 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:00:10 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:00:27 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:11:00:27 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:00:27 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:27 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3086
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:00:31 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/historico? HTTP/1.1" 200 3412
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:00:32 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:07:03 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:07:04 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:07:04 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:07:04 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:07:04 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:07:14 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:11:07:14 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:07:14 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:14 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3143
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:18 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/historico?ra=202323804 HTTP/1.1" 200 3460
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:07:20 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:17:00 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:17:01 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:17:02 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:17:02 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:17:02 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:17:02 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:17:09 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:11:17:09 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:09 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:17:09 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3143
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:17:12 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/historico?ra=202323804 HTTP/1.1" 200 3739
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:17:13 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:45:32 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:45:33 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:45:33 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:45:33 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:45:33 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:45:33 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:49:14 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:49:16 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:49:16 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:49:16 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:49:16 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:49:16 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:49:23 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:11:49:23 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:49:23 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:23 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:23 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "GET /agis/aluno/disciplinas;jsessionid=4C8D0842F9146FEC65A9E19E8A94779F HTTP/1.1" 200 3304
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:27 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/rematriculas?ra=202323804 HTTP/1.1" 200 3723
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:11:49:29 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:11:59:54 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:11:59:56 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:11:59:56 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:59:56 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:11:59:56 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:11:59:56 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:12:00:04 -0300] "GET /agis/alunos/login HTTP/1.1" 404 275
127.0.0.1 - - [09/Dec/2023:12:00:16 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:12:00:16 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:16 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:12:00:16 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3304
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:12:00:21 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/historico?ra=202323804 HTTP/1.1" 200 3742
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:12:00:23 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:12:00:24 -0300] "GET /agis/aluno/rematriculas?ra= HTTP/1.1" 200 4015
